JobTitle,Gender,Age,PerfEval,Education,Dept,Seniority,BasePay,Bonus
Sales Associate,Male,21,2,College,Engineering,4,72953,3520
Sales Associate,Male,64,1,Masters,Operations,4,120618,8739
Software Engineer,Male,46,4,Masters,Administration,4,87942,9446
Graphic Designer,Female,27,3,Masters,Marketing,3,126447,8809
IT,Female,55,5,Masters,Engineering,1,91357,8469
Sales Associate,Female,55,3,High School,Finance,3,127847,7236
Graphic Designer,Female,44,2,High School,Sales,5,70071,8367
Human Resources,Female,51,4,Masters,Operations,5,76458,6140
Financial Analyst,Male,64,4,Masters,Administration,5,73475,7584
Graphic Designer,Female,26,2,High School,Management,3,76226,7213
IT,Female,62,2,High School,Engineering,1,129405,7176
Software Engineer,Male,46,3,Masters,Sales,1,102007,8052
Marketing Associate,Female,27,2,College,Operations,1,66047,7054
Graphic Designer,Male,32,5,High School,Administration,5,66553,7893
Graphic Designer,Female,45,4,College,Finance,2,118346,4146
Manager,Female,41,4,College,Finance,3,98072,6521
Manager,Male,24,1,Masters,Management,2,95656,5412
Financial Analyst,Female,31,4,PhD,Engineering,2,51054,5539
Software Engineer,Female,50,3,Masters,Administration,1,93710,8646
IT,Male,63,2,Masters,Sales,2,112567,3281
Graphic Designer,Male,51,5,PhD,IT,3,144008,6097
Graphic Designer,Male,33,3,PhD,Sales,3,124202,7008
Human Resources,Male,38,1,College,IT,3,123303,9234
IT,Male,63,2,High School,Administration,3,110584,5597
Software Engineer,Female,63,1,PhD,Marketing,4,120675,6759
Manager,Male,29,2,High School,Marketing,5,134503,8632
IT,Male,28,3,Masters,IT,5,103789,7254
IT,Male,37,4,PhD,Administration,4,91143,8333
Human Resources,Female,36,4,High School,Finance,2,94916,9343
Financial Analyst,Female,34,2,College,Operations,3,132987,5151
Software Engineer,Female,34,3,PhD,Sales,3,121383,6496
Sales Associate,Male,25,2,PhD,Engineering,3,56416,4919
Software Engineer,Female,54,1,PhD,Engineering,3,100890,8430
Financial Analyst,Male,40,3,College,Engineering,4,68289,6060
Sales Associate,Female,43,3,Masters,Management,2,113872,7967
Sales Associate,Female,55,4,High School,Operations,2,53392,7652
Graphic Designer,Female,63,2,High School,IT,3,115669,7943
Human Resources,Female,22,1,High School,Marketing,4,134267,5964
Graphic Designer,Male,32,3,PhD,Operations,5,149610,8469
Human Resources,Female,23,5,High School,Marketing,2,84539,7981
Financial Analyst,Male,20,1,PhD,Marketing,2,99366,6190
Sales Associate,Male,57,1,High School,IT,1,57415,9836
Financial Analyst,Female,56,5,High School,Marketing,3,76576,6225
IT,Male,39,3,High School,IT,5,104441,6686
Software Engineer,Female,61,2,PhD,IT,4,59029,6476
Human Resources,Female,61,5,College,Administration,1,66233,8573
Financial Analyst,Female,21,3,PhD,Administration,1,85911,4745
Financial Analyst,Female,64,3,PhD,IT,1,102059,6307
Marketing Associate,Male,42,5,High School,Marketing,4,90089,5972
Financial Analyst,Male,42,1,High School,Marketing,5,71593,4431
Graphic Designer,Male,41,2,High School,IT,1,59238,8163
Manager,Female,38,3,PhD,Finance,5,130472,8099
Graphic Designer,Female,20,4,College,Engineering,4,139856,3329
Graphic Designer,Female,50,4,High School,Management,4,100284,6641
Sales Associate,Male,34,5,Masters,Marketing,2,126368,7804
IT,Male,47,2,Masters,Management,5,108969,3512
IT,Female,63,5,College,Marketing,5,58058,4438
IT,Male,47,2,PhD,IT,2,68750,4250
Software Engineer,Male,29,2,PhD,Administration,4,139738,7767
Manager,Male,36,2,PhD,IT,3,123637,9296
Sales Associate,Male,27,3,High School,IT,4,58010,5017
Graphic Designer,Female,41,1,Masters,Marketing,4,121950,7283
Financial Analyst,Male,56,2,PhD,Sales,2,68868,7451
Financial Analyst,Male,23,2,High School,Finance,4,146707,7286
IT,Male,41,4,High School,Marketing,1,135026,4205
Financial Analyst,Female,38,3,Masters,Administration,1,111092,8290
Software Engineer,Male,37,1,College,Management,2,80081,8965
Graphic Designer,Male,26,5,Masters,Finance,4,117857,8445
Software Engineer,Male,34,5,PhD,Engineering,5,122381,5054
Marketing Associate,Male,63,4,Masters,Engineering,5,127031,3961
Sales Associate,Male,32,1,PhD,Engineering,3,146867,8711
Marketing Associate,Female,35,4,Masters,Operations,3,78421,7553
Marketing Associate,Male,65,1,PhD,Marketing,4,109682,9107
Software Engineer,Female,23,4,Masters,IT,2,63830,8542
Manager,Female,31,2,Masters,Sales,2,140534,4897
Marketing Associate,Male,25,2,PhD,Engineering,4,122304,7889
IT,Male,28,5,College,Engineering,3,62263,7131
IT,Female,28,2,PhD,Engineering,1,61135,7919
Human Resources,Male,37,1,PhD,Administration,4,79277,6001
Software Engineer,Male,36,1,Masters,Management,3,55425,4820
Financial Analyst,Female,29,5,High School,Administration,5,97513,9558
Sales Associate,Female,57,1,Masters,IT,3,133887,4160
Financial Analyst,Male,44,4,Masters,Finance,3,86847,5820
Sales Associate,Female,50,2,PhD,IT,5,109330,7993
IT,Female,27,2,Masters,IT,1,104210,4593
Manager,Female,60,5,High School,Marketing,3,111823,3195
Software Engineer,Male,57,5,Masters,IT,3,140031,3945
Manager,Male,36,3,PhD,Operations,3,123132,6666
Sales Associate,Female,23,2,College,Operations,3,142084,6296
Graphic Designer,Female,56,4,High School,Administration,1,67917,4072
Human Resources,Female,21,3,College,Management,3,62859,9280
IT,Female,37,4,High School,Operations,1,66214,6658
Graphic Designer,Male,24,4,College,IT,5,68716,9434
Human Resources,Female,58,3,PhD,Marketing,4,142217,3246
IT,Female,41,5,Masters,IT,5,71179,5648
Human Resources,Female,51,5,PhD,Operations,3,70158,8022
Sales Associate,Male,21,4,College,Marketing,5,111523,8081
Software Engineer,Male,56,4,Masters,Marketing,4,126410,8135
Human Resources,Female,42,1,PhD,Management,1,144566,5460
Software Engineer,Female,22,2,High School,Management,3,135016,3337
Manager,Female,33,5,High School,Finance,5,104478,7073
Manager,Female,49,4,High School,Administration,3,133816,8490
Sales Associate,Male,43,4,Masters,Finance,2,67089,8895
Financial Analyst,Male,42,4,High School,Operations,5,109292,8969
Human Resources,Female,26,2,PhD,Administration,2,149300,3035
Financial Analyst,Female,61,3,High School,Finance,2,78553,7386
Manager,Female,57,1,College,IT,5,109913,5938
Marketing Associate,Male,43,2,PhD,Sales,1,130324,5455
Software Engineer,Female,44,4,College,Marketing,2,135818,6384
Software Engineer,Female,36,3,College,Operations,4,98393,9623
Graphic Designer,Male,33,5,Masters,Finance,1,62749,3079
Human Resources,Female,60,4,PhD,Sales,1,79304,8768
Marketing Associate,Female,24,5,Masters,IT,3,114124,9571
IT,Male,54,4,High School,IT,3,142910,4913
Software Engineer,Male,32,3,Masters,Management,2,93888,3379
Sales Associate,Female,52,2,College,Administration,1,65426,7048
Sales Associate,Female,51,4,PhD,Administration,1,69662,8905
Marketing Associate,Female,43,1,College,Sales,4,92142,6284
Software Engineer,Male,53,3,College,Sales,4,117148,3159
Manager,Male,41,2,College,Operations,2,87530,7346
Financial Analyst,Female,44,5,High School,Sales,2,118987,7583
IT,Female,39,5,Masters,IT,1,73007,8154
Human Resources,Female,33,2,Masters,IT,5,145288,5568
Manager,Female,57,5,High School,Sales,1,105366,5281
Manager,Male,36,4,PhD,IT,3,89255,3396
IT,Female,40,5,PhD,Sales,3,99205,6428
Graphic Designer,Female,23,4,PhD,Operations,3,143284,3721
Graphic Designer,Male,55,2,Masters,Finance,2,84383,6614
Manager,Male,21,4,High School,Administration,1,121760,4966
Graphic Designer,Female,28,3,Masters,Management,1,135930,4074
Graphic Designer,Female,28,5,PhD,Marketing,1,58807,4625
Software Engineer,Male,47,3,High School,Finance,1,92989,4746
IT,Male,39,3,High School,IT,3,86517,3711
Software Engineer,Female,47,1,High School,Marketing,1,126081,3229
Graphic Designer,Female,57,2,PhD,Finance,3,101144,8277
Manager,Male,42,3,College,Sales,5,87474,5825
IT,Male,33,3,PhD,Management,2,114779,8185
IT,Female,35,4,PhD,Engineering,3,74548,9014
IT,Female,61,4,College,Sales,3,68922,9664
Software Engineer,Male,27,1,High School,Marketing,2,114210,7443
Sales Associate,Female,64,4,PhD,Management,2,131600,3247
Graphic Designer,Female,50,5,College,Management,2,101850,8695
IT,Female,48,2,PhD,Marketing,4,135705,8751
Sales Associate,Female,39,2,College,Operations,3,108304,7472
Sales Associate,Female,33,4,PhD,Marketing,3,57977,8942
Human Resources,Female,23,2,High School,Management,3,98361,8721
Sales Associate,Male,38,1,Masters,Operations,2,148016,6083
Sales Associate,Female,59,5,High School,Operations,3,69250,5605
Human Resources,Male,43,1,High School,Engineering,2,81716,8605
Human Resources,Male,56,5,Masters,Marketing,3,121896,3069
Manager,Male,33,3,High School,Marketing,1,133361,8493
Manager,Female,26,4,PhD,Administration,5,96922,5255
Marketing Associate,Male,41,2,Masters,Management,5,67590,3224
Sales Associate,Female,49,4,College,Finance,4,122815,7291
Human Resources,Male,64,4,College,IT,5,57817,3421
Human Resources,Female,65,4,Masters,Management,4,119230,5084
Software Engineer,Male,44,5,PhD,Management,5,138053,7037
Software Engineer,Female,48,5,Masters,IT,4,108584,6455
Marketing Associate,Female,32,2,Masters,Sales,2,74400,5380
Graphic Designer,Male,35,1,College,IT,4,131160,3641
Sales Associate,Female,59,1,PhD,Engineering,4,91724,5425
IT,Female,24,3,High School,Management,5,107098,8619
Manager,Male,37,3,College,Marketing,4,56951,8522
Marketing Associate,Male,29,4,Masters,Marketing,4,94367,9865
Marketing Associate,Female,29,1,College,Engineering,2,146642,8518
Sales Associate,Male,65,3,PhD,Sales,5,124839,9439
Sales Associate,Male,58,4,PhD,Marketing,3,80992,5261
Sales Associate,Male,49,5,High School,Sales,4,61485,4689
Sales Associate,Female,49,2,College,Sales,1,127230,4399
Manager,Female,43,4,High School,Marketing,4,113466,5134
IT,Male,55,5,PhD,Administration,3,110098,3903
Manager,Male,57,2,College,Marketing,2,113752,5457
Marketing Associate,Male,33,2,High School,Management,1,58124,8588
Marketing Associate,Female,20,5,Masters,Management,1,86582,4529
Human Resources,Male,39,2,Masters,Administration,4,148231,5205
Human Resources,Male,41,2,College,Marketing,2,58868,7093
Manager,Male,36,2,PhD,IT,3,149348,7794
Graphic Designer,Male,64,5,High School,Management,5,101389,7104
Sales Associate,Female,39,1,Masters,Finance,5,66982,7566
Manager,Female,34,4,Masters,Administration,1,57847,7660
Marketing Associate,Female,59,4,Masters,Sales,2,65503,3647
Graphic Designer,Female,20,3,College,IT,5,104725,7314
Human Resources,Male,49,3,High School,Marketing,2,72254,6191
Sales Associate,Male,25,1,PhD,Engineering,4,70018,5572
Software Engineer,Female,54,3,High School,IT,5,81442,8819
Human Resources,Male,61,1,Masters,Finance,2,129489,6084
Manager,Male,21,4,College,Administration,1,64361,8724
IT,Female,52,4,College,Sales,3,104902,4545
Sales Associate,Female,34,1,PhD,Operations,1,84695,5686
IT,Female,25,2,College,IT,4,95799,3839
Software Engineer,Male,45,3,High School,Administration,3,71953,6640
Human Resources,Male,51,4,PhD,Marketing,2,52798,5185
IT,Male,38,5,PhD,Finance,1,96690,9415
IT,Female,24,4,College,Marketing,2,95442,3783
Human Resources,Male,64,1,College,Administration,4,100718,7428
Marketing Associate,Male,40,2,High School,Management,1,54273,3381
Human Resources,Female,33,2,High School,Engineering,5,56811,6644
Software Engineer,Male,49,1,College,Management,4,118515,8569
Human Resources,Female,45,1,PhD,Marketing,1,124021,4471
Human Resources,Female,62,2,Masters,Operations,3,112105,3001
Human Resources,Male,48,1,Masters,IT,4,142613,3250
Graphic Designer,Female,42,4,PhD,Finance,5,56461,8178
Human Resources,Female,44,1,Masters,Marketing,4,52839,7642
Graphic Designer,Female,59,2,College,Finance,1,86490,9421
Manager,Female,42,3,High School,IT,1,110595,6691
Manager,Male,64,2,PhD,Marketing,2,146644,6859
IT,Female,20,4,High School,Sales,3,112047,4027
Manager,Male,64,3,Masters,Operations,3,63503,8923
Manager,Male,44,5,PhD,Finance,5,70123,7359
IT,Male,22,3,PhD,Sales,2,91550,5504
Sales Associate,Female,62,5,PhD,Engineering,3,67590,8495
IT,Male,56,2,College,Engineering,4,115317,9420
Software Engineer,Male,36,4,Masters,Sales,2,134570,3992
Graphic Designer,Male,47,1,High School,Marketing,2,107410,7156
Marketing Associate,Male,30,3,PhD,Management,3,58745,6685
Marketing Associate,Male,35,5,College,Marketing,1,66785,3982
Manager,Female,24,1,High School,Marketing,2,142361,7300
Graphic Designer,Male,37,5,PhD,Finance,4,126383,4166
Software Engineer,Female,61,4,High School,Operations,2,64362,9132
Manager,Female,42,2,Masters,Finance,3,57563,5815
Graphic Designer,Female,65,5,High School,IT,1,84227,8682
Manager,Female,42,4,High School,IT,2,70392,8446
Software Engineer,Male,20,4,High School,Management,5,91391,6133
Software Engineer,Female,38,3,PhD,Management,1,108854,5704
IT,Male,58,2,High School,Sales,2,77365,5124
Software Engineer,Female,49,1,High School,IT,4,139896,7803
Human Resources,Male,33,4,PhD,Sales,5,123158,7284
Sales Associate,Female,60,1,PhD,Engineering,1,126757,3922
Sales Associate,Female,46,4,PhD,Operations,3,104124,5447
Graphic Designer,Male,54,2,College,Sales,4,102661,7528
Marketing Associate,Female,22,3,Masters,Marketing,5,79864,4710
Marketing Associate,Female,56,5,PhD,IT,4,67908,7220
Manager,Male,59,4,High School,Finance,4,82625,9989
Software Engineer,Female,20,5,High School,Operations,1,118520,5695
Financial Analyst,Female,61,3,Masters,Engineering,2,99093,3330
Sales Associate,Female,48,3,PhD,IT,1,90201,4902
Financial Analyst,Female,33,1,College,Administration,2,147668,3149
IT,Male,36,5,College,Finance,2,55407,4285
Software Engineer,Female,45,1,College,IT,4,142679,8171
Sales Associate,Male,51,1,PhD,Administration,5,97711,6792
Sales Associate,Female,28,3,High School,Marketing,5,126267,5804
IT,Female,51,5,College,Finance,2,65001,7267
Human Resources,Female,21,4,Masters,Engineering,5,62174,7017
Marketing Associate,Male,29,5,College,Management,1,131071,3928
Software Engineer,Female,41,3,College,Engineering,4,117654,4924
Sales Associate,Male,28,2,College,Finance,3,103277,8592
Manager,Male,54,2,Masters,Operations,1,77561,6188
Manager,Male,52,5,Masters,Marketing,1,64048,6979
Graphic Designer,Female,22,3,College,Sales,2,60647,6194
Human Resources,Male,55,1,Masters,Operations,5,63163,6363
Financial Analyst,Female,50,2,PhD,Marketing,1,97562,9044
Manager,Male,33,3,Masters,Finance,2,137818,3494
Graphic Designer,Male,53,1,High School,Engineering,2,120301,7114
IT,Male,38,5,College,Administration,5,70104,7695
Human Resources,Male,46,5,PhD,IT,2,96706,5162
Graphic Designer,Male,41,4,PhD,IT,5,101181,9007
Manager,Male,56,2,High School,Engineering,2,149073,4846
IT,Male,34,5,High School,Marketing,4,120387,6874
Manager,Female,25,1,PhD,Sales,3,106006,3959
IT,Male,34,2,College,Management,5,65641,5457
Human Resources,Male,37,3,College,IT,3,76249,7702
Marketing Associate,Female,21,2,PhD,Management,4,63798,5658
Manager,Male,58,5,Masters,Finance,3,121722,7710
Sales Associate,Male,59,3,High School,Operations,3,77120,6194
Manager,Male,37,2,College,Marketing,3,97554,8677
Human Resources,Male,22,2,High School,Marketing,1,111535,7589
Sales Associate,Female,40,3,PhD,Finance,3,50962,4680
Human Resources,Female,61,1,PhD,Marketing,3,107460,6726
Marketing Associate,Male,24,5,College,Engineering,5,74421,8525
Software Engineer,Male,25,3,High School,IT,2,69273,3288
Graphic Designer,Female,32,4,High School,Sales,4,139311,7546
Manager,Male,64,2,PhD,IT,5,79364,5279
Software Engineer,Female,49,3,High School,Marketing,2,113035,5746
Financial Analyst,Female,33,5,High School,Sales,4,59531,6538
Sales Associate,Female,48,4,PhD,Administration,3,127044,8954
Software Engineer,Female,31,5,College,Management,3,60385,4820
IT,Male,34,1,Masters,Administration,3,131567,5975
Human Resources,Male,24,3,PhD,Administration,3,129450,6248
IT,Female,29,1,Masters,Engineering,2,146779,6266
Human Resources,Female,37,2,College,Engineering,3,64028,4307
IT,Male,34,4,High School,Administration,1,90446,3197
Sales Associate,Male,52,2,College,Finance,2,146594,3785
Human Resources,Male,58,1,Masters,Engineering,4,90147,7220
Manager,Female,52,3,Masters,Finance,2,66847,9430
Graphic Designer,Male,52,4,PhD,Marketing,3,117776,9599
Marketing Associate,Female,52,1,Masters,Engineering,1,121298,5412
Manager,Male,25,3,College,Sales,4,73059,7952
IT,Male,48,3,High School,Operations,2,74444,3665
Marketing Associate,Female,37,2,Masters,Operations,3,133564,5478
Sales Associate,Male,21,4,High School,Finance,1,71371,5036
Software Engineer,Female,54,3,High School,Sales,5,123392,4265
IT,Female,42,5,PhD,Administration,3,122504,4668
Manager,Male,37,2,College,Engineering,1,65998,3554
IT,Male,55,5,College,Management,3,109876,8237
Financial Analyst,Female,24,1,College,Sales,5,136569,4733
Human Resources,Male,41,2,College,Operations,1,142183,9763
IT,Male,27,1,College,Sales,4,108968,5664
Manager,Male,44,2,Masters,Administration,1,147188,8848
Sales Associate,Female,26,4,Masters,Administration,1,84061,5950
Marketing Associate,Female,31,4,Masters,Sales,1,79885,5768
Marketing Associate,Male,40,4,Masters,Engineering,3,83891,5445
Manager,Female,38,3,High School,Marketing,1,124918,9125
Software Engineer,Male,49,5,Masters,Engineering,3,82286,6804
Human Resources,Male,30,1,High School,Sales,5,113210,4427
Manager,Male,32,2,College,Management,4,129581,3567
Manager,Male,35,4,College,Engineering,4,70014,7453
IT,Male,56,2,Masters,Administration,3,138235,8864
Software Engineer,Female,64,2,High School,Finance,3,125226,5764
Sales Associate,Male,43,4,College,Sales,3,142756,5330
Software Engineer,Female,23,1,Masters,Marketing,3,107915,6937
Human Resources,Male,50,4,Masters,Management,4,104751,6011
Marketing Associate,Female,55,5,High School,Finance,1,148392,3206
Graphic Designer,Male,60,5,High School,Finance,1,91351,5036
Graphic Designer,Male,62,5,Masters,Finance,2,119842,4300
Human Resources,Female,44,1,College,Engineering,3,97969,8098
Software Engineer,Female,21,4,High School,Engineering,1,56426,9155
Software Engineer,Male,58,5,Masters,Administration,1,148462,5871
Marketing Associate,Female,51,1,PhD,Engineering,5,67406,9028
IT,Female,48,5,High School,Operations,5,103200,9684
Sales Associate,Female,39,3,College,Sales,5,76662,4201
Sales Associate,Male,52,1,Masters,Sales,2,57646,4626
Human Resources,Male,55,2,PhD,Sales,3,99453,8380
Human Resources,Female,62,2,PhD,Engineering,5,108543,6009
Software Engineer,Female,46,2,PhD,Management,2,62971,4851
Human Resources,Male,34,2,PhD,Finance,3,90885,8781
Sales Associate,Female,48,4,High School,Engineering,2,110902,9473
Marketing Associate,Female,28,1,Masters,Engineering,5,122016,7605
Financial Analyst,Male,47,4,High School,Operations,5,58559,8538
IT,Female,35,2,High School,Management,5,65817,6435
Human Resources,Female,34,1,PhD,Marketing,2,133118,5298
Software Engineer,Female,56,3,College,Administration,3,115910,5512
Graphic Designer,Female,24,3,College,Sales,3,87429,8353
Sales Associate,Female,31,1,College,Administration,4,78375,7584
Sales Associate,Female,32,3,College,Management,1,138777,4599
Sales Associate,Male,22,2,Masters,Management,3,67628,4932
IT,Female,52,5,PhD,Operations,3,132313,6417
Software Engineer,Male,49,5,Masters,Administration,5,143379,9727
Human Resources,Male,65,5,PhD,Marketing,5,143660,6410
